candidate,mode,alpha,illumination_threshold,selected,accepted,score,active_fraction,mean_alpha,mae_improvement_pct,rmse_improvement_pct,edge_mae_improvement_pct,mae_ms,rmse_ms,edge_mae
sqrt_alpha0.15_thr0.2,sqrt,0.15,0.2,False,True,0.23559568919843168,0.8636094674556213,0.056439670508873344,0.12682830421422403,0.022955090151425255,0.042906147416391205,131.52508528674082,285.1739944577314,37.25959547009575
sqrt_alpha0.15_thr0.3,sqrt,0.15,0.3,False,True,0.24820414567043447,0.49108567018266014,0.03802740538899882,0.11829869467116999,0.021395160879241263,0.05425514506001162,131.5363181093654,285.17844399174214,37.25536506437972
sqrt_alpha0.15_thr0.4,sqrt,0.15,0.4,False,True,0.260303273119337,0.35495883714947263,0.02726788349335572,0.10728895960757825,0.01895168596801483,0.06703131377187194,131.55081706157284,285.1854137466636,37.25060267224211
sqrt_alpha0.15_thr0.5,sqrt,0.15,0.5,False,True,0.20898901101053827,0.25322227939284797,0.01832391611135945,0.08230341943030484,0.013823721930503527,0.05643093482486495,131.58372104616603,285.2000407241796,37.2545540259297
sqrt_alpha0.15_thr0.6,sqrt,0.15,0.6,False,True,0.12278740170359285,0.14967198353485978,0.009810088627426345,0.04915365909923193,0.007572800731414297,0.033030470936473315,131.62737666439412,285.2178708187677,37.26327668667032
sqrt_alpha0.15_thr0.7,sqrt,0.15,0.7,False,True,0.02366297783843684,0.05537046565474659,0.0027254937464409523,0.01369806538108316,0.0014602275401774916,0.004252342458588094,131.67406888322017,285.2353062902295,37.27400390356053
sqrt_alpha0.15_thr0.8,sqrt,0.15,0.8,False,False,0.0019921844486158503,0.000996912786210445,8.007371542821525e-05,0.0019721994302392284,1.998501837662219e-05,-0.001063833798230458,131.6895109232902,285.2394144303861,37.27598553957197
sqrt_alpha0.2_thr0,sqrt,0.2,0.0,False,False,0.2124699947154271,0.9826086956521739,0.11628621964077698,0.18055777526817107,0.03191221944725603,-0.016760603983421718,131.45432781360972,285.14844518947217,37.28183660311079
sqrt_alpha0.2_thr0.001,sqrt,0.2,0.001,False,False,0.21241223868256826,0.9826086956521739,0.11616920392407229,0.18050849637697475,0.03190374230559351,-0.016633573868848388,131.45439271002041,285.14846936962624,37.28178925188739
sqrt_alpha0.2_thr0.005,sqrt,0.2,0.005,False,False,0.21217955354875317,0.9826086956521739,0.11569703952710744,0.18030993821943325,0.03186961532931991,-0.01612237899473907,131.454654195444,285.148566713233,37.28159870098718
